Domanda,Opzione A,Opzione B,Opzione C,Risposta corretta
"Gli incendi di Classe C, in relazione allo stato fisico dei materiali combustibili, sono:","incendi di materiali solidi con formazione di braci (carta, cartoni, libri, legna, segatura,  ….)","incendi di liquidi infiammabili e solidi che possono liquefare (petrolio, vernici, nafta, benzina ….)","incendi di gas infiammabili (metano, propano, g.p.l., cloro, idrogeno ….)","incendi di gas infiammabili (metano, propano, g.p.l., cloro, idrogeno ….)"
"Gli incendi di Classe D, in relazione allo stato fisico dei materiali combustibili, sono:","incendi di materiali solidi con formazione di braci (carta, cartoni, libri, legna, segatura,  ….)","incendi di metalli combustibili e sostanze chimiche contenenti ossigeno comburente (magnesio, potassio, fosforo, sodio, titanio, alluminio, carburi, nitrati, clorati, perclorati, perossidi ….).",incendi che interessano sostanze usate nella cottura (oli e grassi vegetali o animali),"incendi di metalli combustibili e sostanze chimiche contenenti ossigeno comburente (magnesio, potassio, fosforo, sodio, titanio, alluminio, carburi, nitrati, clorati, perclorati, perossidi ….)."
"Gli incendi di Classe F, in relazione allo stato fisico dei materiali combustibili, sono:","incendi di materiali solidi con formazione di braci (carta, cartoni, libri, legna, segatura,  ….)","incendi di metalli combustibili e sostanze chimiche contenenti ossigeno comburente (magnesio, potassio, fosforo, sodio, titanio, alluminio, carburi, nitrati, clorati, perclorati, perossidi ….).",incendi che interessano sostanze usate nella cottura (oli e grassi vegetali o animali),incendi che interessano sostanze usate nella cottura (oli e grassi vegetali o animali)
"Il combustibile, sostanza che si trasforma durante l’incendio, può trovarsi allo stato solido, liquido o gassoso: ","No, i combustibili sono sostanze solo allo stato solido","No, i combustibili sono sostanze che possono essere solo allo stato solido o liquido","Si, i combustibili possono trovarsi in uno dei tre stati (combustibile solido, liquido o gassoso)","Si, i combustibili possono trovarsi in uno dei tre stati (combustibile solido, liquido o gassoso)"
La temperatura in corrispondenza della quale inizia la combustione è definita: ,Temperatura di infiammabilità,Temperatura di ebollizione,temperatura di accensione o temperatura di ignizione,temperatura di accensione o temperatura di ignizione
"La più bassa temperatura alla quale un combustibile liquido sviluppa vapori in quantità sufficiente da formare con l'aria una miscela che, in presenza di innesco, si accende è definita",Temperatura di infiammabilità ,Temperatura di combustione o accensione,Temperatura di fusione,Temperatura di infiammabilità 
"In presenza di liquidi infiammabili (combustibili), la probabilità che si formino vapori in quantità tali da essere incendiati",aumenta con il diminuire della temperatura di infiammabilità,aumenta con l’aumentare della temperatura di infiammabilità,Non varia al variare della temperature di infiammabilità,aumenta con il diminuire della temperatura di infiammabilità
"Un liquido “infiammabile” (combustibile), ai fini del rischio incendio/esplosione:",È più pericoloso se ha basse temperature di infiammabilità ,È più pericoloso se ha alte temperature di infiammabilità,La pericolosità dei liquidi infiammabili non dipendente dalla temperatura di infiammabilità,È più pericoloso se ha basse temperature di infiammabilità 
Con limiti di infiammabilità di una sostanza (gassosa o allo stato aeriforme) si intende: ,la percentuale in volume di combustibile nella miscela aria – combustibile entro le quali si ha combustione,la percentuale in volume del comburente nella miscela aria-combustibile entro le quali si ha combustione,"la temperatura in corrispondenza della quale un liquido combustibile è in grado di emettere vapori in quantità sufficiente da formare con l'aria una miscela che, in presenza di innesco, si accende ",la percentuale in volume di combustibile nella miscela aria – combustibile entro le quali si ha combustione
Il “limite inferiore di infiammabilità” di una sostanza (gassosa o allo stato aeriforme): ,"rappresenta la minima concentrazione di comburente, in fase gas, presente nella miscela aria-combustibile che consente a quest'ultima, se innescata, di reagire dando luogo ad una combustione in grado di propagarsi a tutta la miscela.","rappresenta la minima concentrazione di combustibile, in fase gas, presente nella miscela aria-combustibile che consente a quest'ultima, se innescata, di reagire dando luogo ad una combustione in grado di propagarsi a tutta la miscela.","rappresenta la massima concentrazione di combustibile, in fase gas, presente nella miscela aria-combustibile che consente a quest’ultima, se innescata, di reagire dando luogo ad una combustione in grado di propagarsi a tutta la miscela.","rappresenta la minima concentrazione di combustibile, in fase gas, presente nella miscela aria-combustibile che consente a quest'ultima, se innescata, di reagire dando luogo ad una combustione in grado di propagarsi a tutta la miscela."
Il “limite superiore di infiammabilità” di una sostanza (gassosa o allo stato aeriforme): ,"rappresenta la minima concentrazione di comburente, in fase gas, presente nella miscela aria-combustibile che consente a quest'ultima, se innescata, di reagire dando luogo ad una combustione in grado di propagarsi a tutta la miscela.","rappresenta la minima concentrazione di combustibile, in fase gas, presente nella miscela aria-combustibile che consente a quest'ultima, se innescata, di reagire dando luogo ad una combustione in grado di propagarsi a tutta la miscela.","rappresenta la massima concentrazione di combustibile, in fase gas, presente nella miscela aria-combustibile che consente a quest’ultima, se innescata, di reagire dando luogo ad una combustione in grado di propagarsi a tutta la miscela.","rappresenta la massima concentrazione di combustibile, in fase gas, presente nella miscela aria-combustibile che consente a quest’ultima, se innescata, di reagire dando luogo ad una combustione in grado di propagarsi a tutta la miscela."
Con il termine “campo di infiammabilità” intendiamo:,"L’intervallo di concentrazione “miscela aria – combustibile” compreso fra il limite inferiore di infiammabilità ed il limite superiore, caratteristici per ciascuna sostanza","L’intervallo di temperature in corrispondenza della quale un liquido combustibile è in grado di emettere vapori in quantità sufficiente da formare con l'aria una miscela che, in presenza di innesco, si accende",L’intervallo di temperature in corrispondenza della quale un liquido combustibile o un gas si innescano ,"L’intervallo di concentrazione “miscela aria – combustibile” compreso fra il limite inferiore di infiammabilità ed il limite superiore, caratteristici per ciascuna sostanza"
La temperatura di accensione,"rappresenta la minima temperatura alla quale un combustibile liquido sviluppa vapori in quantità tale da formare con l'aria una miscela che, in presenza di innesco, brucia spontaneamente",Rappresenta la temperatura in corrispondenza della quale un liquido va in ebollizione,"rappresenta la minima temperatura alla quale una sostanza combustibile (solida, liquida o gassosa), in presenza di aria inizia a bruciare spontaneamente in modo continuo senza necessità di innesco o di energia dall’esterno","rappresenta la minima temperatura alla quale una sostanza combustibile (solida, liquida o gassosa), in presenza di aria inizia a bruciare spontaneamente in modo continuo senza necessità di innesco o di energia dall’esterno"
Il campo di esplosività rappresenta:,l’intervallo nel quale la percentuale in volume di miscela aria-combustibile se innescata da origine ad una reazione di combustione,l’intervallo nel quale la percentuale in volume di miscela “aria-combustibile” se innescata da origine ad una esplosione,l’intervallo nel quale la percentuale in volume di miscela aria-combustibile se innescata da origine solo ad una detonazione,l’intervallo nel quale la percentuale in volume di miscela “aria-combustibile” se innescata da origine ad una esplosione
Il Limite inferiore di esplosività è:,"la minima concentrazione di combustibile, in fase gas, presente nella miscela aria-combustibile che consente a quest'ultima, se innescata, di reagire dando luogo ad una esplosione",l’intervallo nel quale la percentuale in volume di miscela aria-combustibile se innescata da origine ad una esplosione,"la massima concentrazione di combustibile nella miscela aria-combustibile che consente a quest’ultima, se innescata, di reagire dando luogo ad una esplosione.","la minima concentrazione di combustibile, in fase gas, presente nella miscela aria-combustibile che consente a quest'ultima, se innescata, di reagire dando luogo ad una esplosione"
Il Limite superiore di esplosività è:,"la minima concentrazione di combustibile, in fase gas, presente nella miscela aria-combustibile che consente a quest'ultima, se innescata, di reagire dando luogo ad una esplosione",l’intervallo nel quale la percentuale in volume di miscela aria-combustibile se innescata da origine ad una esplosione,"la massima concentrazione di combustibile nella miscela aria-combustibile che consente a quest’ultima, se innescata, di reagire dando luogo ad una esplosione.","la massima concentrazione di combustibile nella miscela aria-combustibile che consente a quest’ultima, se innescata, di reagire dando luogo ad una esplosione."
La combustione delle sostanze solide è caratterizzata dai seguenti parametri:,"tipologia, pezzatura e forma del materiale",grado di porosità contenuto dell’umidità del materiale e ventilazione,da tutti i parametri indicati negli altri due punti,da tutti i parametri indicati negli altri due punti
"Per i combustibili liquidi, la reazione di combustione, in presenza di innesco, si genera quando: ","il liquido emette una quantità di vapori sufficienti, opportunamente miscelati con l’aria ",Il liquido a una bassa temperatura di combustione o accensione,Il liquido non è chiuso in un contenitore metallico,"il liquido emette una quantità di vapori sufficienti, opportunamente miscelati con l’aria "
In funzione della temperatura di infiammabilità i liquidi combustibili,"Vengono raggruppati in cinque classi: 1, 2, 3, 4 e 5","Vengono raggruppati in cinque classi: A, B, C, D ed F ","Vengono raggruppati in tre categorie: A, B e C","Vengono raggruppati in tre categorie: A, B e C"
I liquidi di categoria “A” sono ,i liquidi aventi temperatura di infiammabilità inferiore a 21°C,liquidi aventi temperatura di infiammabilità compresa tra 21°C e 65°C,liquidi aventi temperatura di infiammabilità oltre 65° e fino a 125°C,i liquidi aventi temperatura di infiammabilità inferiore a 21°C
I liquidi di categoria “B” sono ,i liquidi aventi temperatura di infiammabilità inferiore a 21°C,liquidi aventi temperatura di infiammabilità compresa tra 21°C e 65°C,liquidi aventi temperatura di infiammabilità oltre 65° e fino a 125°C,liquidi aventi temperatura di infiammabilità compresa tra 21°C e 65°C
I liquidi di categoria “C” sono ,i liquidi aventi temperatura di infiammabilità inferiore a 21°C,liquidi aventi temperatura di infiammabilità compresa tra 21°C e 65°C,liquidi aventi temperatura di infiammabilità oltre 65° e fino a 125°C,liquidi aventi temperatura di infiammabilità oltre 65° e fino a 125°C
I combustibili gassosi possono essere conservati:,in due modalità diverse (compressi o liquefatti) a seconda delle loro caratteristiche fisiche ed in particolare della temperatura critica,"in quattro modalità diverse (compressi, liquefatti, refrigerati o disciolti) a seconda delle loro caratteristiche chimico-fisiche ed in particolare della temperatura critica",Solo liquefatti,"in quattro modalità diverse (compressi, liquefatti, refrigerati o disciolti) a seconda delle loro caratteristiche chimico-fisiche ed in particolare della temperatura critica"
I combustibili gassosi sono:,quelle sostanze che si trovano allo stato gassoso nelle condizioni alta pressione e di alta temperatura (almeno pressione di 10 bar e temperatura di circa 100°C).,"I combustibili che, a seguito della reazione di combustione, si trasformano in sostanze gassose",quelle sostanze che si trovano allo stato gassoso nelle condizioni normali di pressione e di temperatura (pressione atmosferica e temperatura di circa 15°C).,quelle sostanze che si trovano allo stato gassoso nelle condizioni normali di pressione e di temperatura (pressione atmosferica e temperatura di circa 15°C).
"I combustibili gassosi, in relazione alla densità relativa all’aria, sono classificati gas pesanti:","se la densità relativa all’aria è minore di 0.8 (es. metano,ecc.).","se la densità relativa all’aria è maggiore di 0.8 (es. GPL, acetilene,ecc.).",se la densità relativa all’aria è uguale a 0.8,"se la densità relativa all’aria è maggiore di 0.8 (es. GPL, acetilene,ecc.)."
"I combustibili gassosi, in relazione alla densità relativa all’aria, sono classificati gas leggeri:","se la densità relativa all’aria è minore di 0.8 (es. metano,ecc.).","se la densità relativa all’aria è maggiore di 0.8 (es. GPL, acetilene,ecc.).",se la densità relativa all’aria è maggiore di 1.0 ,"se la densità relativa all’aria è minore di 0.8 (es. metano,ecc.)."
Il calore,È la causa principale della propagazione degli incendi,esprime la quantità massima di energia che si può ricavare dalla combustione completa di 1 kg di sostanza combustibile (o da 1 m3 di gas) a 0 °C e 1 atm,Esprime la massima temperatura che potrebbe essere raggiunta teoricamente nel corso di una combustione se tutto il calore sviluppato fosse speso unicamente per riscaldare i prodotti della combustione stessa,È la causa principale della propagazione degli incendi
I meccanismi con cui una sorgente d’ignizione può scambiare calore con un combustibile sono,"conduzione, convezione e irraggiamento.",solo irraggiamento,solo convezione,"conduzione, convezione e irraggiamento."
"Affinché la combustione abbia luogo è necessaria la presenza di una fonte di innesco, cioè:","di una adeguata fiamma libera che, lambendo il materiale combustibile, dia la necessaria energia per l’avvio dell’“incendio non per forza superiore all’energia di attivazione","di una adeguata sorgente di calore che dia la necessaria energia per l’avvio dell’“incendio”, che deve essere superiore all’energia di attivazione",Di un adeguata percentuale di ossigeno nell’aria ,"di una adeguata sorgente di calore che dia la necessaria energia per l’avvio dell’“incendio”, che deve essere superiore all’energia di attivazione"
Le principali sorgenti di attivazione dell’incendio sono,Tutte quelle indicate negli altri punti,"Attrito, radiazioni termiche, reazioni chimiche esotermiche e autocombustione","Fiamme, Superfici calde e scintille e archi elettrici, ",Tutte quelle indicate negli altri punti
Si ha calore per attrito: ,quando si ha sfregamento tra due materiali.,"quando il calore d’innesco avviene nelle forme della convezione, conduzione e irraggiamento termico","quando una fiamma, una scintilla o altro materiale incandescente entra in contatto con un materiale combustibile in presenza di ossigeno",quando si ha sfregamento tra due materiali.
Si ha autocombustione o riscaldamento spontaneo: ,quando il calore viene prodotto dallo stesso combustibile che si innesca senza sorgenti esterne di attivazione,"quando il calore d’innesco avviene nelle forme della convezione, conduzione e irraggiamento termico","quando una fiamma, una scintilla o altro materiale incandescente entra in contatto con un materiale combustibile in presenza di ossigeno",quando il calore viene prodotto dallo stesso combustibile che si innesca senza sorgenti esterne di attivazione
Il calore radiante emesso da caminetti e stufe può innescare un incendio?,"Si, se il materiale investito dalla radiazione termica raggiunge la temperatura di accensione","No, i materiali combustibili non possono ma essere innescati per irraggiamento del calore","No, i materiali combustibili si innescano solo se a contatto diretto con fonti di calore","Si, se il materiale investito dalla radiazione termica raggiunge la temperatura di accensione"
 A seguito di una reazione di combustione si ha produzione di,solo gas e fumi,"calore, fiamme, gas e fumi",solo fiamme,"calore, fiamme, gas e fumi"
I gas di combustione,è la quantità di aria necessaria per raggiungere la combustione completa di una determinata quantità di combustibile,sono quei prodotti allo stato gassoso che si hanno prima della reazione di combustione ,sono quei prodotti della combustione che rimangono allo stato gassoso anche quando si raffreddano.,sono quei prodotti della combustione che rimangono allo stato gassoso anche quando si raffreddano.
Le fiamme,"sono formati da piccolissime particelle solide (aerosol), liquide (nebbie o vapori condensati) disperse nei gas prodotti durante la combustione",sono costituite dall'emissione di luce come reazione conseguente alla combustione di gas sviluppatosi in un incendio,sono quei prodotti della combustione che rimangono allo stato gassoso anche quando si raffreddano.,sono costituite dall'emissione di luce come reazione conseguente alla combustione di gas sviluppatosi in un incendio
I fumi,"sono formati da piccolissime particelle solide (aerosol), liquide (nebbie o vapori condensati) disperse nei gas prodotti durante la combustione",sono costituite dall'emissione di luce come reazione conseguente alla combustione di gas sviluppatosi in un incendio,sono quei prodotti della combustione che rimangono allo stato gassoso anche quando si raffreddano.,"sono formati da piccolissime particelle solide (aerosol), liquide (nebbie o vapori condensati) disperse nei gas prodotti durante la combustione"
Le sostanze estinguenti sono,"sostanze che a contatto con altre sostanze, soprattutto se infiammabili, provocano una forte reazione esotermica",sostanze aventi la proprietà di interrompere la combustione,"sostanze che, in presenza di comburenti, possono comunque sostenere un processo di combustione",sostanze aventi la proprietà di interrompere la combustione
"Le sostanze estinguenti agiscono sugli incendi, spegnendoli",Solo per raffreddamento,Solo per sottrazione di combustibile e soffocamento ,"Per raffreddamento, sottrazione del combustibile, soffocamento e inibizione chmica","Per raffreddamento, sottrazione del combustibile, soffocamento e inibizione chmica"
"I principi di azione di spegnimento degli estinguenti (soffocamento, raffreddamento ….) sono gli stessi per tutte le sostanze estinguenti che si possono utilizzare","No, ciascuna sostanza, generalmente, è in grado di esercitare in modo efficace solo alcune specifiche azione di spegnimento ","Si, ogni sostanza agisce esercitando tutte le azioni di spegnimento allo stesso modo ","No, ciascuna sostanza è in grado di esercitare solo un’azione di spegnimento","No, ciascuna sostanza, generalmente, è in grado di esercitare in modo efficace solo alcune specifiche azione di spegnimento "
Le sostanze estinguenti normalmente utilizzate sono,"Solo l’acqua, la schiuma e le polveri","Solo i gas inerti (Ar, N, CO2)",Tutte le sostanze elencate negli altri punti possono essere utilizzate come agenti estinguenti,Tutte le sostanze elencate negli altri punti possono essere utilizzate come agenti estinguenti
"Nello spegnimento di un incendio, l’acqua, agisce per:",raffreddamento e soffocamento ,Solo soffocamento,inibizione chimica,raffreddamento e soffocamento 
"Nello spegnimento di un incendio, le polveri, agiscono per:",raffreddamento e soffocamento ,inibizione chimica,tutti i parametri indicati negli altri due punti ,tutti i parametri indicati negli altri due punti 
"Nello spegnimento di un incendio, i gas inerti, come Azoto e Argon, agiscono per: ",raffreddamento ,soffocamento ,inibizione chimica,soffocamento 
"Nello spegnimento di un incendio, l’anidride carbonica (CO2), agisce per: ",soffocamento ,soffocamento e raffreddamento,inibizione chimica,soffocamento e raffreddamento
La scelta dell’agente estinguente:,"Dipende dalle caratteristiche delle proprietà della sostanza estinguente, dalle dimensioni del fuoco prevedibile e dalla natura dei prodotti combustibili",Dipende solo dalle caratteristiche delle proprietà della sostanza estinguente,"È effettuata dal Datore di Lavoro, sulla base del suo giudizio esperto ","Dipende dalle caratteristiche delle proprietà della sostanza estinguente, dalle dimensioni del fuoco prevedibile e dalla natura dei prodotti combustibili"
L’impiego dell’acqua come agente estinguente è generalmente vietato in presenza di impianti elettrici sotto tensione,"No, mai","No, l’uso dell’acqua è vietato solo in presenza di sostanze reagenti con essa in modo violento ed esplosivo o che possono dar luogo a prodotti tossici o corrosivi",Si,Si
L’impiego dell’acqua come agente estinguente è vietato in presenza di sostanze reagenti con essa in modo violento ed esplosivo o che possono dar luogo a prodotti tossici o corrosivi,"No, l’importante è provare a spegnere il principio di incendio","No, l’uso dell’acqua è vietato solo in presenza di impianti elettrici",Si,Si
L’impiego dell’acqua come agente estinguente può essere sconsigliato in caso di ambienti con presenza di apparecchiature delicate e documenti a causa del danno che potrebbe derivarne per gli stessi,"No, l’importante è provare a spegnere sempre e comunque il principio di incendio","Si, però solo nei luoghi di lavoro classificati a basso rischio di incendio",Si,Si
"Le polveri utilizzate come agenti estinguenti sono sempre idonee per qualunque classe di incendio (A, B, C e D)","No, a seconda della tipologia assumono comportamenti notevolmente diversi, alcune sono adatte per fuochi di classe A, B e C altre sono idonee per i fuochi di classe D","No, le polveri sono efficaci solo per i fuochi di classe A",Si,"No, a seconda della tipologia assumono comportamenti notevolmente diversi, alcune sono adatte per fuochi di classe A, B e C altre sono idonee per i fuochi di classe D"
Le schiume sono agenti estinguenti,"costituito da una miscela di acqua, liquido schiumogeno e aria (o altro gas inerte)",costituite da sostanze liquide che vengono sversate direttamente sul materiale in combustione,Costituite da sostanze liquidi che quando vengono utilizzate si trasformano in gas inerti ,"costituito da una miscela di acqua, liquido schiumogeno e aria (o altro gas inerte)"
Le schiume hanno le stesse limitazioni di impiego dell’acqua,"Si, essendo l’acqua un componente essenziale della schiuma estinguente","No, essendo un aggregato di bolle di gas non ha limitazioni di impiego","Si, ma solo per le attività che non possono essere classificate a basso rischio di incendio ","Si, essendo l’acqua un componente essenziale della schiuma estinguente"
Le schiume sono molto efficaci,Su incendio che coinvolgono combustibili solidi e liquidi infiammabili ,Su incendi che coinvolgono sostanze gassose,Su incendi di classe D ,Su incendio che coinvolgono combustibili solidi e liquidi infiammabili 
Le sostanze estinguenti gassose sono ugualmente efficaci per tutte le classi di incendio,"Si, ","No, sono generalmente molto efficaci su incendi di liquidi e gas infiammabili o, non essendo conduttrici, incendi che coinvolgono apparecchiature ed impianti elettrici sotto tensione","No,  sono generalmente molto efficaci solo su incendi di materiali organici","No, sono generalmente molto efficaci su incendi di liquidi e gas infiammabili o, non essendo conduttrici, incendi che coinvolgono apparecchiature ed impianti elettrici sotto tensione"
La CO2 è generalmente sconsigliata su apparecchiature sensibili alle brusche variazioni di temperatura,"Si, ","No, la CO2 agisce solo per soffocamento non determinando problemi di raffreddamento","Si, ma solo su apparecchiature sotto tensione","Si, "
Con il termine “rischio di incendio” intendiamo,la probabilità che l’evento incendio si verifichi (frequenza) e l’entità dei danni sulle persone e i beni presenti negli ambienti considerati conseguenti al verificarsi dell’evento (magnitudo),"La proprietà o la qualità intrinseca di determinati materiali o attrezzature, oppure metodologie e pratiche del lavoro o di utilizzo di un ambiente”, “potenzialmente capaci di causare un incendio”",Nessuna delle definizioni riportate negli altri punti,la probabilità che l’evento incendio si verifichi (frequenza) e l’entità dei danni sulle persone e i beni presenti negli ambienti considerati conseguenti al verificarsi dell’evento (magnitudo)
La mitigazione del “rischio di incendio” è possibile attraverso una adeguata progettazione e realizzazione ,"di sole misure di prevenzione degli incendi (es: realizzazione impianti a regola d’arte …) e di protezione (es: installazione estintori, idranti, …)",di sole misure precauzionali di esercizio (misure gestionali),"di misure di prevenzione degli incendi (es: realizzazione impianti a regola d’arte …), di protezione (es: installazione estintori, idranti, …) e di misure precauzionali di esercizio (misure gestionali)","di misure di prevenzione degli incendi (es: realizzazione impianti a regola d’arte …), di protezione (es: installazione estintori, idranti, …) e di misure precauzionali di esercizio (misure gestionali)"
"Le misure di prevenzione, propriamente dette, sono ","tutte le misure finalizzate alla riduzione del rischio incendio mediante la riduzione della probabilità/frequenza di accadimento dell’evento (impianti a regola d’arte, …)","tutte le misure finalizzate alla riduzione del rischio incendio mediante la riduzione del danno conseguente all’evento (es: impianti antincendio, porte tagliafuoco, vie di esodo, …)","Tutte le misure finalizzate al mantenimento del livello di sicurezza raggiunto nella progettazione della sicurezza antincendio del luogo di lavoro (manutenzione, controllo, sorveglianza, formazione, addestramento, pianificazione emergenza, e….","tutte le misure finalizzate alla riduzione del rischio incendio mediante la riduzione della probabilità/frequenza di accadimento dell’evento (impianti a regola d’arte, …)"
"Nei luoghi di lavoro, in conformità alle disposizioni dettate dal Dlgs 81/2008, è sempre obbligatorio per il Datore di Lavoro adottare idonee misure per prevenire gli incendi e tutelare l’incolumità delle persone","No, si attuano solo se a seguito di specifica valutazione del rischio incendio il luogo di lavoro non risulta a rischio di incendio basso","No, solo per i luoghi di lavoro che sono contemporaneamente attività soggette ai controlli dei vigili del fuoco","Si, nei luoghi di lavoro è sempre obbligatorio adottare misure per prevenire gli incendi","Si, nei luoghi di lavoro è sempre obbligatorio adottare misure per prevenire gli incendi"
Le misure di protezione sono ,"tutte le misure finalizzate alla riduzione del rischio incendio mediante la riduzione della probabilità/frequenza di accadimento dell’evento (impianti a regola d’arte,  …)","tutte le misure finalizzate alla riduzione del rischio incendio mediante la riduzione del danno conseguente all’evento (es: impianti antincendio, porte tagliafuoco, vie di esodo, …)","Tutte le misure finalizzate al mantenimento del livello di sicurezza raggiunto nella progettazione della sicurezza antincendio del luogo di lavoro (manutenzione, controllo, sorveglianza, formazione, addestramento, pianificazione emergenza, e….","tutte le misure finalizzate alla riduzione del rischio incendio mediante la riduzione del danno conseguente all’evento (es: impianti antincendio, porte tagliafuoco, vie di esodo, …)"
Le misure di protezione attiva sono ,"tutti quei dispositivi che, a seguito della rivelazione di un incendio, sono in grado di esplicare l’azione protettiva senza richiedere alcuna azione (impiantistica o umana)","tutti quei dispositivi che, a seguito della rivelazione di un incendio, per esplicare l’azione protettiva necessitano di un intervento o un’azione (impiantistica o umana)",tutti quei dispositivi che consentono di ridurre la probabilità che si inneschi un incendio,"tutti quei dispositivi che, a seguito della rivelazione di un incendio, per esplicare l’azione protettiva necessitano di un intervento o un’azione (impiantistica o umana)"
